timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751573198.8547034,1425.9263,804.16895,1450.0,1450.0,
1751573198.8585935,1450.0,782.5734,1239.0894,1225.8134,
1751573198.8624833,545.55334,696.36816,247.19832,212.3268,
1751573198.8663733,0.0,646.8046,0.0,0.0,
1751573198.8702633,364.38077,706.3694,675.21515,710.4407,
1751573198.8741531,1331.7555,791.5126,1450.0,1450.0,
1751573198.8780432,1450.0,792.3091,1350.5188,1342.0222,
1751573198.8819332,693.35895,709.99817,379.60385,345.6174,
1751573198.8858230,0.0,648.57477,0.0,0.0,
1751573198.8897130,237.55112,704.15674,530.50726,566.2638,
1751573198.8936031,1221.6536,797.35394,1450.0,1450.0,
1751573198.8974931,1450.0,799.3896,1445.8402,1438.8481,
1751573198.9013829,843.37726,712.6534,520.50604,484.12988,
1751573198.9052730,0.0,642.4678,0.0,0.0,
1751573198.9091630,117.979004,674.77264,385.79932,415.36044,
1751573198.9130528,1096.8595,768.8549,1358.6614,1393.887,
1751573198.9169428,1450.0,799.3011,1450.0,1450.0,
1751573198.9208329,970.561,734.957,663.53235,630.2539,
1751573198.9247227,29.915155,661.9392,0.0,0.0,
1751573198.9286127,18.232313,683.0037,254.54434,277.02496,
1751573198.9325027,955.42633,767.79285,1249.7986,1284.139,
1751573198.9363925,1450.0,795.67236,1450.0,1450.0,
1751573198.9402826,1111.2861,737.7007,811.07245,785.2286,
1751573198.9441726,136.29982,661.49664,0.0,0.0,
1751573198.9480624,0.0,671.6749,130.81242,148.4252,
1751573198.9519525,810.71844,765.6687,1121.9069,1161.0267,
1751573198.9558425,1450.0,811.33795,1450.0,1450.0,
1751573198.9597325,1236.9651,755.933,957.0195,932.59174,
1751573198.9636223,255.87193,665.2139,7.169017,0.0,
1751573198.9675124,0.0,658.93,27.791002,40.447414,
1751573198.9714024,675.12665,746.37427,991.8025,1034.197,
1751573198.9752922,1450.0,798.5046,1450.0,1450.0,
1751573198.9791822,1349.9878,751.9502,1096.417,1071.4583,
1751573198.9830723,391.81775,661.6737,111.42953,71.247635,
1751573198.9869621,0.0,649.1058,0.0,0.0,
1751573198.9908521,523.4267,738.3202,846.3865,884.7098,
1751573198.9947422,1440.3528,809.6564,1450.0,1450.0,
1751573198.9986320,1440.9723,778.85614,1218.2903,1198.2878,
1751573199.0025220,525.5509,687.5176,223.92114,184.6243,
1751573199.0064120,0.0,647.9552,0.0,0.0,
1751573199.0103018,392.5258,712.9189,704.06824,735.134,
1751573199.0141919,1351.8464,793.9022,1450.0,1450.0,
1751573199.0180819,1450.0,779.29865,1329.8969,1319.3646,
1751573199.0219719,672.29443,689.6417,353.40598,317.20685,
1751573199.0258617,0.0,640.0781,0.0,0.0,
1751573199.0297518,256.75702,704.7763,553.16486,588.0364,
1751573199.0336418,1239.4434,790.539,1450.0,1450.0,
1751573199.0375316,1450.0,787.6183,1429.909,1425.3068,
1751573199.0414217,817.1794,706.1039,493.7771,462.53433,
1751573199.0453117,0.0,643.08734,0.0,0.0,
1751573199.0492015,132.14003,688.0486,411.55466,445.4526,
1751573199.0530915,1111.6401,783.8125,1377.4248,1413.8894,
1751573199.0569816,1450.0,802.0448,1450.0,1450.0,
1751573199.0608714,951.7976,720.79596,638.3965,606.79974,
1751573199.0647614,16.639198,645.56555,0.0,0.0,
1751573199.0686514,33.366905,675.5692,275.52036,304.63895,
1751573199.0725412,980.5622,773.1917,1268.7389,1308.5668,
1751573199.0764313,1450.0,808.15173,1450.0,1450.0,
1751573199.0803213,1086.5043,743.6306,785.84814,754.5169,
1751573199.0842111,114.61576,663.1783,0.0,0.0,
1751573199.0881011,0.0,670.87836,158.1609,174.8001,
1751573199.0919912,840.7221,759.2077,1152.9725,1188.9946,
1751573199.0958812,1450.0,801.1597,1450.0,1450.0,
1751573199.0997710,1212.0948,746.55133,928.4319,896.4811,
1751573199.1036611,229.23152,664.9484,0.0,0.0,
1751573199.1075511,0.0,658.753,47.1739,58.502716,
1751573199.1114409,700.17395,749.56055,1018.61993,1053.226,
1751573199.1153309,1450.0,816.5599,1450.0,1450.0,
1751573199.1192210,1326.2681,772.9262,1070.0421,1048.2695,
1751573199.1231108,359.15887,674.59564,89.037415,51.245193,
1751573199.1270008,0.0,648.2207,0.0,0.0,
1751573199.1308908,558.8293,732.7443,877.1867,917.1916,
1751573199.1347806,1450.0,805.1425,1450.0,1450.0,
1751573199.1386707,1419.2883,779.12164,1193.951,1178.1969,
1751573199.1425607,492.80353,686.45544,200.46695,163.6483,
1751573199.1464505,0.0,644.946,0.0,0.0,
1751573199.1503406,417.6616,718.8488,734.0719,774.4308,
1751573199.1542306,1369.2822,795.67236,1450.0,1450.0,
1751573199.1581206,1450.0,776.2894,1312.9921,1297.238,
1751573199.1620104,639.7241,697.07623,331.98743,292.42508,
1751573199.1659005,0.0,652.64606,0.0,0.0,
1751573199.1697905,281.98132,711.6798,584.4076,617.50903,
1751573199.1736803,1261.4814,798.7701,1450.0,1450.0,
1751573199.1775703,1450.0,793.9022,1413.8894,1403.6227,
1751573199.1814604,794.6103,703.97974,469.96887,429.52145,
1751573199.1853502,0.0,643.44135,0.0,0.0,
1751573199.1892402,158.2494,697.43024,436.33646,468.55276,
1751573199.1931303,1140.0507,788.3263,1396.7191,1428.9354,
1751573199.1970201,1450.0,798.5931,1450.0,1450.0,
1751573199.2009101,934.7159,727.2569,603.17096,580.69037,
1751573199.2048001,2.4781785,657.15985,0.0,0.0,
1751573199.2086899,53.634865,677.69336,302.16077,330.2173,
1751573199.2125800,1012.9555,769.917,1291.4851,1328.9232,
1751573199.2164700,1450.0,810.0989,1450.0,1450.0,
1751573199.2203600,1067.21,744.4271,757.26056,731.50525,
1751573199.2242498,99.127144,659.99207,0.0,0.0,
1751573199.2281399,0.0,668.31165,178.07483,196.74968,
1751573199.2320299,865.9464,756.64105,1173.5946,1211.6523,
1751573199.2359197,1450.0,805.408,1450.0,1450.0,
1751573199.2398098,1193.951,756.1985,902.411,876.21313,
1751573199.2436998,211.17622,673.0025,0.0,0.0,
1751573199.2475896,0.0,663.2668,63.901604,78.41665,
1751573199.2514796,725.39825,753.1893,1040.304,1080.3973,
1751573199.2553697,1450.0,813.99316,1450.0,1450.0,
1751573199.2592595,1311.3105,760.80084,1047.9155,1021.0981,
1751573199.2631495,339.42197,662.7358,72.22121,32.74736,
1751573199.2670395,0.0,645.91956,0.0,0.0,
1751573199.2709293,584.67316,732.30176,897.5432,936.04346,
1751573199.2748194,1450.0,807.08966,1450.0,1450.0,
1751573199.2787094,1407.9595,785.67114,1172.09,1155.1853,
1751573199.2825992,477.4919,694.7751,179.0484,143.38034,
1751573199.2864892,0.0,650.5219,0.0,0.0,
1751573199.2903793,435.5399,719.0258,753.98584,790.18494,
1751573199.2942693,1383.7087,794.2562,1450.0,1450.0,
1751573199.2981591,1450.0,774.0768,1291.7506,1279.8907,
1751573199.3020492,614.49976,693.00494,306.4091,270.4755,
1751573199.3059392,0.0,652.0265,0.0,0.0,
1751573199.3098290,301.27573,714.06946,606.97675,644.1494,
1751573199.3137190,1280.5103,799.2126,1450.0,1450.0,
1751573199.3176091,1450.0,795.93787,1395.9226,1388.5765,
1751573199.3214989,757.6146,706.98895,442.5319,409.07648,
1751573199.3253889,0.0,640.7862,0.0,0.0,
1751573199.3292789,177.27827,692.3854,461.64926,496.34378,
1751573199.3331687,1159.5221,784.6091,1413.2699,1446.3712,
1751573199.3370588,1450.0,799.0356,1450.0,1450.0,
1751573199.3409488,911.8812,722.7431,580.2478,554.581,
1751573199.3448386,0.0,649.3713,0.0,0.0,
1751573199.3487287,69.831535,681.4106,325.34946,351.72433,
1751573199.3526187,1035.4362,761.5089,1310.9564,1346.8015,
1751573199.3565087,1450.0,793.10565,1450.0,1450.0,
1751573199.3603985,1042.6936,737.1696,730.7087,699.2889,
1751573199.3642886,80.5408,655.9208,0.0,0.0,
1751573199.3681786,0.0,669.7278,197.63475,215.77855,
1751573199.3720684,889.93164,767.4388,1193.8625,1228.1145,
1751573199.3759584,1450.0,815.32074,1450.0,1450.0,
1751573199.3798485,1169.8773,756.0215,878.0718,854.35205,
1751573199.3837383,188.8726,659.90356,0.0,0.0,
1751573199.3876283,0.0,653.79663,81.60288,95.409874,
1751573199.3915184,747.34784,755.8445,1063.8467,1101.5504,
1751573199.3954082,1450.0,816.6484,1450.0,1450.0,
1751573199.3992982,1291.3081,765.7572,1018.79694,999.1485,
1751573199.4031882,316.4103,677.3393,52.04175,15.754135,
1751573199.4070780,0.0,657.6909,0.0,0.0,
1751573199.4109681,608.3043,736.5501,921.3514,964.98505,
1751573199.4148581,1450.0,806.3816,1450.0,1450.0,
1751573199.4187481,1390.8777,777.263,1150.1404,1133.1472,
1751573199.4226379,449.96643,683.9773,158.78044,122.66984,
1751573199.4265280,0.0,642.02527,0.0,0.0,
1751573199.4304180,463.5964,721.14996,780.9803,819.1265,
1751573199.4343078,1401.056,809.2138,1450.0,1450.0,
1751573199.4381979,1450.0,795.1413,1273.1643,1258.3837,
1751573199.4420879,592.19617,700.35095,285.34457,247.55234,
1751573199.4459777,0.0,642.91034,0.0,0.0,
1751573199.4498677,321.9862,711.5028,628.5723,664.9484,
1751573199.4537578,1297.5035,803.72644,1450.0,1450.0,
1751573199.4576476,1450.0,799.0356,1380.257,1370.5212,
1751573199.4615376,736.5501,710.2637,419.25473,383.0556,
1751573199.4654276,0.0,646.00806,0.0,0.0,
1751573199.4693174,199.7589,689.9072,485.723,518.29333,
1751573199.4732075,1185.189,775.13885,1429.4666,1450.0,
1751573199.4770975,1450.0,797.885,1450.0,1450.0,
1751573199.4809873,876.39014,728.93854,551.2177,528.7371,
1751573199.4848773,0.0,651.584,0.0,0.0,
1751573199.4887674,84.6121,685.03937,346.50247,378.9843,
1751573199.4926574,1051.3673,780.9803,1328.3037,1367.1581,
1751573199.4965472,1450.0,806.2046,1450.0,1450.0,
1751573199.5004373,1014.72565,732.03625,702.65216,676.1887,
1751573199.5043273,59.653297,651.6725,0.0,0.0,
1751573199.5082171,0.0,675.48065,223.3901,241.26839,
1751573199.5121071,917.1916,774.3423,1219.2639,1253.6929,
1751573199.5159972,1450.0,812.9311,1450.0,1450.0,
1751573199.5198870,1145.2726,747.8789,851.9624,819.392,
1751573199.5237770,164.62186,661.40814,0.0,0.0,
1751573199.5276670,0.0,666.3645,101.60532,114.61576,
1751573199.5315568,778.76764,756.99506,1087.1239,1121.4644,
1751573199.5354469,1450.0,805.4965,1450.0,1450.0,
1751573199.5393369,1269.447,755.579,997.9094,970.915,
1751573199.5432267,292.33658,666.1875,35.845085,0.0,
1751573199.5471168,0.0,655.7438,0.0,8.673625,
1751573199.5510068,626.5367,746.81683,947.10675,987.37714,
1751573199.5548968,1450.0,813.2851,1450.0,1450.0,
1751573199.5587866,1373.3535,778.67914,1124.1195,1110.4895,
1751573199.5626767,422.44095,683.2692,135.41476,102.578896,
1751573199.5665667,0.0,644.1494,0.0,0.0,
1751573199.5704565,491.82996,725.8408,805.7621,846.121,
1751573199.5743465,1419.5538,808.5943,1450.0,1450.0,
1751573199.5782366,1450.0,783.8125,1249.7986,1238.0272,
1751573199.5821264,565.6443,691.4118,258.43863,224.6292,
1751573199.5860164,0.0,647.9552,0.0,0.0,
1751573199.5899065,349.15765,714.06946,659.54956,699.64294,
1751573199.5937963,1320.4266,800.09766,1450.0,1450.0,
1751573199.5976863,1450.0,789.47687,1362.0247,1349.6338,
1751573199.6015763,705.3073,701.236,394.0304,356.23816,
1751573199.6054661,0.0,648.57477,0.0,0.0,
1751573199.6093562,220.82341,696.7222,513.51404,547.0579,
1751573199.6132462,1206.1649,782.48486,1446.2827,1450.0,
1751573199.6171362,1450.0,790.00793,1450.0,1449.2035,
1751573199.6210260,848.9532,711.14874,526.79,500.06104,
