timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1748958310.1933665,622.7309,703.80273,393.58786,940.02625,
1748958310.1972666,640.1666,718.49475,0.0,8.408106,
1748958310.2011669,773.4572,739.9133,576.7076,204.53824,
1748958310.2050669,837.7129,748.941,1450.0,1233.5134,
1748958310.2089670,743.45355,736.7271,1413.4469,1450.0,
1748958310.2128673,622.8194,722.38904,438.10657,1008.17615,
1748958310.2167673,636.44934,717.78674,0.0,89.39144,
1748958310.2206674,773.1917,732.12476,583.257,72.75224,
1748958310.2245677,853.90955,753.10077,1412.5618,1017.73486,
1748958310.2284677,760.1813,749.295,1450.0,1450.0,
1748958310.2323680,633.5287,721.681,572.9903,1168.9037,
1748958310.2362680,644.1494,703.18317,0.0,265.78467,
1748958310.2401681,765.5802,718.9373,348.71512,8.142587,
1748958310.2440684,852.6705,746.72833,1299.7162,934.1848,
1748958310.2479684,780.5378,739.8248,1450.0,1450.0,
1748958310.2518685,640.7862,731.4167,896.83514,1311.8416,
1748958310.2557688,628.48376,717.60974,0.0,404.56265,
1748958310.2596688,738.3202,720.2649,183.91626,0.0,
1748958310.2635689,837.2703,753.54333,1211.7408,912.1467,
1748958310.2674692,804.523,747.34784,1450.0,1450.0,
1748958310.2713692,660.96564,730.8857,835.85425,1366.45,
1748958310.2752693,605.8262,720.3534,0.0,549.53613,
1748958310.2791696,724.1592,722.38904,141.69872,0.0,
1748958310.2830696,834.1726,740.6214,1170.9393,828.68524,
1748958310.2869697,802.57587,746.99384,1450.0,1450.0,
1748958310.2908700,680.7911,750.18005,941.2653,1323.0819,
1748958310.2947700,616.2699,709.2901,11.682842,416.51102,
1748958310.2986703,698.7579,703.62573,51.953243,0.0,
1748958310.3025703,834.5267,746.02026,1022.24866,218.69926,
1748958310.3064704,830.1013,743.7191,1450.0,915.06744,
1748958310.3103707,697.7843,734.3374,1149.6979,1040.9235,
1748958310.3142707,621.8458,715.13153,208.43253,151.43442,
1748958310.3181708,696.19116,701.8556,0.0,0.0,
1748958310.3220711,818.9495,729.02704,930.6446,0.0,
1748958310.3259711,824.61395,752.3927,1450.0,109.6594,
1748958310.3298712,716.9902,731.0627,1316.7979,458.109,
1748958310.3337715,624.58954,691.76587,340.39554,89.037415,
1748958310.3376715,659.1955,697.07623,0.0,0.0,
1748958310.3415716,788.3263,710.70624,847.6256,16.019655,
1748958310.3454719,839.66003,703.62573,1450.0,30.977232,
1748958310.3493719,720.61896,703.27167,1411.3228,230.73613,
1748958310.3532720,601.7549,687.6061,416.51102,100.89727,
