timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1749130431.5687029,835.0577,1120.9332,963.746,1113.1448,
1749130431.5725942,1450.0,1450.0,1450.0,1450.0,
1749130431.5764852,1259.2688,1055.1731,1137.13,1048.535,
1749130431.5803764,244.72014,47.527924,120.457184,32.393333,
1749130431.5842674,0.0,0.0,0.0,0.0,
1749130431.5881586,707.52,969.05634,858.5119,1005.6095,
1749130431.5920498,1450.0,1450.0,1450.0,1450.0,
1749130431.5959408,1364.4143,1161.1152,1306.0886,1190.2338,
1749130431.5998321,380.84296,145.6815,308.0907,164.09082,
1749130431.6037230,0.0,0.0,0.0,0.0,
1749130431.6076143,551.1292,828.77374,696.19116,856.83026,
1749130431.6115053,1450.0,1450.0,1450.0,1450.0,
1749130431.6153965,1422.2975,1313.7887,1339.0131,1283.6965,
1749130431.6192877,446.24915,311.63095,338.3599,271.9801,
1749130431.6231787,0.0,0.0,0.0,0.0,
1749130431.6270700,416.24548,687.9601,547.6775,718.8488,
1749130431.6309609,1386.2754,1450.0,1450.0,1450.0,
1749130431.6348522,1450.0,1390.6122,1450.0,1395.3916,
1749130431.6387434,658.3989,426.2467,519.2669,432.7962,
1749130431.6426344,0.0,0.0,0.0,0.0,
1749130431.6465256,277.11346,527.76355,414.8294,573.52136,
1749130431.6504166,1284.316,1450.0,1385.1249,1450.0,
1749130431.6543078,1450.0,1450.0,1450.0,1450.0,
1749130431.6581991,805.1425,580.1593,668.9312,584.67316,
1749130431.6620901,0.0,0.0,0.0,0.0,
1749130431.6659813,153.55856,389.33957,269.32492,432.8847,
1749130431.6698723,1168.3727,1377.7788,1286.4402,1395.6571,
1749130431.6737635,1450.0,1450.0,1450.0,1450.0,
1749130431.6776545,948.6999,673.0025,748.4984,726.5489,
1749130431.6815457,0.0,0.0,0.0,0.0,
1749130431.6854370,46.288837,266.13867,158.3379,297.0274,
1749130431.6893280,1046.8534,1269.3585,1159.7876,1302.1058,
1749130431.6932192,1450.0,1450.0,1450.0,1450.0,
1749130431.6971102,1089.779,861.43256,963.569,884.0902,
1749130431.7010014,79.39022,0.0,0.0,0.0,
1749130431.7048926,0.0,125.14802,79.21321,166.12648,
1749130431.7087836,908.34094,1142.1748,1094.9124,1198.5533,
1749130431.7126749,1450.0,1450.0,1450.0,1450.0,
1749130431.7165658,1213.157,1006.406,1088.9824,1016.5843,
1749130431.7204571,197.36922,10.797778,86.73625,3.4517488,
1749130431.7243483,0.0,15.223097,0.0,35.845085,
1749130431.7282393,762.1284,1013.9291,896.3041,1056.8546,
1749130431.7321305,1450.0,1450.0,1450.0,1450.0,
1749130431.7360215,1332.9945,1116.1539,1247.8514,1146.5116,
1749130431.7399127,335.8817,99.65818,238.25917,112.845634,
1749130431.7438040,0.0,0.0,0.0,0.0,
1749130431.7476950,624.147,893.6489,763.279,937.19403,
1749130431.7515862,1450.0,1450.0,1450.0,1450.0,
1749130431.7554772,1420.2618,1245.1078,1330.0739,1259.3573,
1749130431.7593684,464.03894,232.68327,340.30704,242.06494,
1749130431.7632594,0.0,0.0,0.0,0.0,
1749130431.7671506,474.21716,749.64905,603.17096,781.4228,
1749130431.7710419,1427.2539,1450.0,1450.0,1450.0,
1749130431.7749329,1450.0,1356.1832,1423.8021,1360.343,
1749130431.7788241,607.5078,376.41763,468.28726,376.59464,
1749130431.7827151,0.0,0.0,0.0,0.0,
1749130431.7866063,339.42197,596.00195,483.59885,641.58276,
1749130431.7904975,1333.7026,1450.0,1427.7849,1450.0,
1749130431.7943885,1450.0,1449.7345,1450.0,1443.5391,
1749130431.7982798,755.4019,522.7187,613.70325,517.49677,
1749130431.8021708,0.0,0.0,0.0,0.0,
1749130431.8060620,203.21065,443.59396,318.53445,483.68735,
1749130431.8099532,1218.9098,1417.1642,1335.4728,1427.8734,
1749130431.8138442,1450.0,1450.0,1450.0,1450.0,
1749130431.8177354,894.35693,599.80774,657.8679,653.17706,
1749130431.8216264,0.0,0.0,0.0,0.0,
1749130431.8255177,83.37301,316.85284,207.54745,345.17487,
1749130431.8294086,1091.8147,1311.045,1205.5454,1337.1544,
1749130431.8332999,1450.0,1450.0,1450.0,1450.0,
1749130431.8371911,1029.5062,794.7873,900.28687,803.1954,
1749130431.8410821,32.30483,0.0,0.0,0.0,
1749130431.8449733,0.0,177.5438,141.96423,217.37166,
1749130431.8488643,964.454,1193.774,1164.3014,1237.6732,
1749130431.8527555,1450.0,1450.0,1450.0,1450.0,
1749130431.8566468,1166.514,958.6126,1054.996,958.9666,
1749130431.8605378,138.06995,0.0,14.16102,0.0,
1749130431.8644290,0.0,105.76512,69.389,97.97656,
1749130431.8683200,877.0097,1143.5024,1121.8184,1132.7931,
1749130431.8722112,1450.0,1450.0,1450.0,1450.0,
1749130431.8761024,1278.9171,1054.288,1166.337,1074.1134,
1749130431.8799934,280.03418,56.20155,173.20699,58.502716,
1749130431.8838847,0.0,0.0,0.0,0.0,
1749130431.8877757,664.9484,927.3698,791.6896,963.746,
1749130431.8916669,1450.0,1450.0,1450.0,1450.0,
1749130431.8955579,1377.3363,1182.2682,1267.7654,1197.8453,
1749130431.8994491,394.2074,167.63109,264.63406,174.00354,
1749130431.9033403,0.0,0.0,0.0,0.0,
1749130431.9072313,521.30255,792.1321,634.0597,830.0128,
1749130431.9111226,1450.0,1450.0,1450.0,1450.0,
1749130431.9150136,1450.0,1302.9023,1377.4248,1309.8059,
1749130431.9189048,537.7648,305.78955,393.23383,306.6746,
1749130431.9227960,0.0,0.0,0.0,0.0,
1749130431.9266870,384.20618,623.79297,516.2577,683.4462,
1749130431.9305782,1369.3707,1450.0,1450.0,1450.0,
1749130431.9344692,1450.0,1406.8973,1450.0,1402.7375,
1749130431.9383605,678.93243,438.81464,524.57733,439.69968,
