timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751399083.5360360,717.78674,272.2456,107.97778,564.9362,
1751399083.5399280,635.21027,147.71715,0.0,413.23627,
1751399083.5438199,644.3264,855.3256,709.99817,719.3798,
1751399083.5477118,721.41547,1336.5348,1450.0,1025.3464,
1751399083.5516038,771.33307,997.6439,1265.4642,920.9974,
1751399083.5554957,735.57654,317.38388,334.81964,601.2238,
1751399083.5593877,657.6024,121.96179,0.0,411.9087,
1751399083.5632796,644.8575,796.4689,760.88934,668.9312,
1751399083.5671716,723.5397,1356.4487,1450.0,1011.89343,
1751399083.5710635,789.65393,1100.4883,1386.3639,960.1172,
1751399083.5749555,761.15485,412.43973,502.00818,647.9552,
1751399083.5788474,679.37494,244.54312,0.0,418.54666,
1751399083.5827394,659.90356,801.8678,454.12622,618.9251,
1751399083.5866313,728.76154,1237.4962,1389.7272,993.92664,
1751399083.5905230,776.555,1040.2155,1450.0,987.20013,
1751399083.5944149,740.7984,511.12433,752.3927,680.26,
1751399083.5983069,671.05536,81.16035,0.0,422.44095,
1751399083.6021988,648.4862,483.86438,299.5941,564.8477,
1751399083.6060908,706.90045,1245.8158,1346.713,950.82404,
1751399083.6099827,764.96063,1291.3081,1314.2312,996.3163,
1751399083.6138747,749.64905,589.6295,570.0696,710.1752,
1751399083.6177666,667.69214,68.68095,0.0,421.37888,
1751399083.6216586,619.0136,410.6696,178.07483,499.53,
1751399083.6255505,664.32886,1205.0144,1209.7052,889.3121,
1751399083.6294425,731.77075,1287.3253,1450.0,981.9783,
1751399083.6333344,726.6374,637.777,819.7461,713.89246,
1751399083.6372263,647.6012,103.19844,0.0,404.9167,
1751399083.6411183,584.3191,340.2185,235.24995,414.38687,
1751399083.6450102,616.4469,1101.4619,1107.5688,793.37115,
1751399083.6489022,678.66693,1306.0001,1450.0,931.52966,
1751399083.6527941,675.48065,736.28455,980.1196,695.1291,
1751399083.6566861,599.3652,168.87016,37.61521,376.77167,
1751399083.6605780,534.66705,223.65562,0.0,329.77478,
1751399083.6644700,573.0788,974.0127,962.15283,706.1924,
1751399083.6683619,664.41736,1326.5336,1450.0,928.1664,
1751399083.6722538,687.8716,861.43256,966.4011,744.0731,
1751399083.6761458,636.9804,192.14735,72.75224,425.9812,
1751399083.6800377,575.557,157.01031,0.0,329.33224,
1751399083.6839297,593.43524,920.2008,828.3312,677.3393,
1751399083.6878216,669.1967,1274.4033,1450.0,937.1055,
1751399083.6917133,700.528,869.48663,1185.72,791.9551,
1751399083.6956053,652.2035,249.14546,214.62798,472.62405,
1751399083.6994972,596.9755,101.16279,0.0,339.33347,
1751399083.7033892,617.77454,846.74054,917.98816,659.0185,
1751399083.7072811,704.24524,1334.0566,1450.0,975.78284,
1751399083.7111731,764.96063,994.01514,1264.9331,894.0029,
1751399083.7150650,723.5397,351.1933,390.66714,575.8225,
1751399083.7189569,646.18506,154.26662,0.0,389.69357,
1751399083.7228489,638.75055,729.29254,568.565,648.3092,
1751399083.7267408,720.61896,1305.1151,1434.5999,992.59906,
1751399083.7306328,784.6091,1121.0219,1450.0,950.20447,
1751399083.7345247,759.2077,448.55032,694.6866,646.5391,
1751399083.7384167,686.544,70.09705,0.0,423.94556,
1751399083.7423086,668.40015,588.1249,408.63394,625.12054,
1751399083.7462006,745.0467,1300.5127,1429.909,999.85657,
1751399083.7500925,804.08044,1243.0721,1305.2921,1003.0428,
1751399083.7539845,777.3515,503.86682,496.16675,702.91766,
1751399083.7578764,713.71545,61.86596,0.0,458.109,
1751399083.7617683,701.6786,533.1624,287.46872,609.89746,
1751399083.7656603,755.2249,1264.4021,1297.3265,985.87256,
1751399083.7695522,806.3816,1248.9135,1450.0,1037.9143,
1751399083.7734442,785.58264,578.5662,730.7087,753.10077,
1751399083.7773361,723.0086,106.73869,0.0,466.25162,
1751399083.7812281,677.1623,443.23993,377.3027,543.6947,
1751399083.7851200,724.95575,1165.1865,1218.4673,939.4067,
1751399083.7890120,821.4277,1266.8802,1450.0,1054.1995,
1751399083.7929039,804.7885,677.4278,889.57764,801.2482,
1751399083.7967956,719.9109,178.60587,0.0,498.73343,
1751399083.8006876,692.82794,327.5621,59.653297,515.2841,
1751399083.8045795,748.941,1078.0077,1080.9283,910.3766,
1751399083.8084714,817.4449,1340.8716,1450.0,1076.2375,
1751399083.8123634,815.8518,824.61395,891.5248,849.57275,
1751399083.8162553,759.4732,170.37477,0.0,535.28656,
1751399083.8201473,693.35895,238.25917,0.0,486.9621,
1751399083.8240392,708.228,996.2278,948.9654,846.56354,
1751399083.8279312,781.51135,1411.8538,1450.0,1058.0938,
1751399083.8318231,800.27466,853.82104,1026.0544,883.11664,
1751399083.8357151,743.36505,96.560455,74.52237,564.7592,
1751399083.8396070,671.40936,168.16212,0.0,452.97565,
