timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751473770.9787014,672.20593,524.75433,664.06335,5.310383,
1751473770.9825969,646.18506,569.6271,657.8679,10.26674,
1751473770.9864926,724.3362,819.6576,752.2157,986.13806,
1751473770.9903882,794.2562,933.7423,813.99316,1450.0,
1751473770.9942837,770.89056,787.8838,763.54456,1107.7458,
1751473770.9981794,683.7118,569.45,665.6565,107.35824,
1751473771.0020750,640.9632,564.7592,646.9816,0.0,
1751473771.0059707,705.2188,788.4148,735.66504,835.94275,
1751473771.0098662,781.2458,929.671,816.8254,1450.0,
1751473771.0137618,775.49286,815.6748,784.8746,1231.8318,
1751473771.0176575,689.02216,579.9823,689.8187,225.33723,
1751473771.0215530,632.9976,534.57855,651.0529,0.0,
1751473771.0254486,695.3061,736.8156,721.504,679.729,
1751473771.0293443,780.4492,911.08466,804.7885,1450.0,
1751473771.0332398,784.52057,839.30597,791.6011,1348.3062,
1751473771.0371354,707.52,615.2078,698.4038,357.65427,
1751473771.0410311,644.5035,543.07513,642.64484,0.0,
1751473771.0449266,686.544,719.4683,699.3774,535.9946,
1751473771.0488224,780.0952,913.9169,789.5654,1450.0,
1751473771.0527179,804.6115,876.39014,797.17694,1446.2827,
1751473771.0566134,730.7087,639.28156,717.69824,500.23804,
1751473771.0605092,648.4862,509.88525,654.23914,0.0,
1751473771.0644047,667.1611,668.6657,696.45667,384.20618,
1751473771.0683002,761.5974,894.44543,788.50336,1369.3707,
1751473771.0721960,797.885,899.66736,810.0104,1450.0,
1751473771.0760915,739.20526,684.95087,727.4339,651.1414,
1751473771.0799873,658.576,534.66705,647.6012,0.0,
1751473771.0838828,659.99207,652.2035,679.10944,249.49948,
1751473771.0877783,750.5341,875.06256,774.2538,1253.5159,
1751473771.0916741,807.17816,907.2789,805.3195,1450.0,
1751473771.0955696,754.7824,702.4751,738.4972,802.57587,
1751473771.0994651,665.0369,519.3554,657.15985,0.0,
1751473771.1033609,658.1334,605.9147,676.2772,130.10437,
1751473771.1072564,741.3294,851.9624,765.49164,1134.4747,
1751473771.1111519,804.877,923.9181,797.531,1450.0,
1751473771.1150477,766.2882,742.65704,741.6835,951.7091,
1751473771.1189432,675.8347,549.71313,665.3024,0.0,
1751473771.1228390,651.4069,602.81696,666.0105,17.701275,
1751473771.1267345,732.30176,830.8094,752.1272,990.5634,
1751473771.1306300,802.66437,934.3618,814.70123,1450.0,
1751473771.1345258,770.53656,784.078,770.97906,1097.1251,
1751473771.1384213,682.03015,560.5994,673.7991,97.888054,
1751473771.1423168,637.1574,559.89136,650.16785,0.0,
1751473771.1462126,701.3245,786.8217,736.5501,849.2187,
1751473771.1501081,785.93665,921.61694,814.52423,1450.0,
1751473771.1540036,778.4136,794.7873,782.39636,1222.7156,
1751473771.1578994,699.55444,572.9903,686.721,215.60153,
1751473771.1617949,642.73334,541.305,645.0345,0.0,
1751473771.1656907,692.3854,755.6675,707.52,692.2969,
1751473771.1695862,785.2286,928.4319,793.45966,1450.0,
1751473771.1734817,796.3804,843.46576,785.84814,1335.4728,
1751473771.1773775,711.14874,615.5619,695.3061,341.6346,
1751473771.1812730,642.1138,546.5269,649.54834,0.0,
1751473771.1851685,683.6233,719.8224,708.7591,540.8625,
1751473771.1890643,776.8205,898.1627,798.5046,1450.0,
1751473771.1929598,801.6908,856.2107,803.72644,1430.8826,
1751473771.1968555,722.7431,633.1746,712.7419,469.70334,
1751473771.2007511,646.45056,529.3566,655.0357,0.0,
1751473771.2046466,676.1887,692.1199,693.44745,402.4385,
1751473771.2085423,771.86414,905.0662,776.2009,1380.8765,
1751473771.2124379,806.2931,888.86957,798.239,1450.0,
1751473771.2163334,743.27655,659.72656,717.96375,637.0689,
1751473771.2202291,663.2668,519.5325,648.1322,0.0,
1751473771.2241247,670.1703,650.7874,681.67615,268.08582,
1751473771.2280202,757.8801,876.7442,772.12964,1272.2792,
1751473771.2319160,802.0448,909.226,803.2839,1450.0,
1751473771.2358115,750.8881,700.7935,737.7007,786.02515,
1751473771.2397072,667.60364,519.7095,655.0357,0.0,
1751473771.2436028,660.25757,615.7389,668.31165,135.59177,
1751473771.2474983,749.91455,864.53033,766.3767,1140.4047,
1751473771.2513940,815.6748,925.95374,812.5771,1450.0,
1751473771.2552896,772.39514,734.3374,739.20526,928.1664,
1751473771.2591851,677.78186,541.305,649.1943,0.0,
1751473771.2630808,653.17706,588.74445,656.62885,27.702496,
1751473771.2669764,731.2397,819.8346,752.3042,1001.6267,
1751473771.2708719,802.66437,918.96173,815.6748,1450.0,
1751473771.2747676,779.38715,768.9434,763.98706,1071.1042,
1751473771.2786632,695.3061,561.573,661.6737,79.832756,
1751473771.2825589,657.07135,563.96265,649.1943,0.0,
1751473771.2864544,723.4511,784.078,741.3294,859.2199,
1751473771.2903500,805.9391,928.0779,810.0104,1450.0,
1751473771.2942457,793.8137,812.046,770.80206,1202.3591,
1751473771.2981412,701.3245,579.7168,676.3657,196.30714,
1751473771.3020368,649.54834,549.89014,646.6276,0.0,
1751473771.3059325,709.82117,764.96063,718.9373,707.34296,
1751473771.3098280,792.3976,931.61816,800.8942,1450.0,
1751473771.3137238,796.55743,833.37604,789.47687,1322.1083,
1751473771.3176193,717.78674,585.20416,697.7843,323.66782,
1751473771.3215148,656.80585,521.30255,655.1242,0.0,
1751473771.3254106,700.9705,722.5661,714.42346,565.2017,
1751473771.3293061,782.30786,912.41223,791.9551,1450.0,
1751473771.3332016,796.82294,853.467,788.94586,1418.8457,
1751473771.3370974,722.8316,627.95276,706.90045,453.6837,
1751473771.3409929,652.55756,536.9682,650.8759,0.0,
1751473771.3448884,680.26,703.62573,696.19116,416.59952,
1751473771.3487842,765.13763,905.2432,786.6447,1392.8248,
1751473771.3526797,800.7172,883.29364,800.8942,1450.0,
1751473771.3565755,738.67426,654.32764,717.1672,613.1722,
1751473771.3604710,654.15063,512.983,651.1414,0.0,
1751473771.3643665,665.0369,655.7438,683.1807,282.9549,
1751473771.3682623,757.9686,879.04535,776.555,1285.9092,
1751473771.3721578,820.63116,899.0478,807.7977,1450.0,
1751473771.3760533,766.0227,701.5016,729.46954,762.3054,
1751473771.3799491,655.1242,535.9061,688.4026,0.0,
1751473771.3838446,648.66327,632.6436,765.31464,141.6102,
1751473771.3877401,748.587,857.5383,883.47064,1142.1748,
1751473771.3916359,824.4369,916.3065,936.22046,1450.0,
1751473771.3955314,790.716,741.6835,875.94763,913.82837,
1751473771.3994272,705.3958,551.4832,780.3607,0.0,
