timestamps,eeg_1,eeg_2,eeg_3,eeg_4,note
1751406996.4380367,753.72034,730.3546,724.0707,683.8888,
1751406996.4419272,771.33307,731.50525,729.6466,1082.964,
1751406996.4458177,782.13086,736.6386,734.3374,1055.1731,
1751406996.4497082,765.40314,731.50525,731.94775,672.56,
1751406996.4535987,747.25934,723.3626,731.2397,391.4637,
1751406996.4574893,751.3306,729.6466,729.02704,622.1998,
1751406996.4613798,768.23535,738.4972,735.75354,1044.1982,
1751406996.4652703,769.2974,737.4351,746.90533,1069.5996,
1751406996.4691608,754.8709,731.1512,743.9846,708.3165,
1751406996.4730513,741.5065,732.03625,736.10754,394.47293,
1751406996.4769418,740.17883,738.4087,733.0983,556.2626,
1751406996.4808323,752.56976,732.39026,736.8156,990.29785,
1751406996.4847229,761.7744,731.2397,737.8777,1084.5571,
1751406996.4886134,753.89734,733.5409,729.9121,755.1364,
1751406996.4925039,740.9754,727.87646,722.21204,405.89026,
1751406996.4963944,741.595,731.1512,725.48676,498.0254,
1751406996.5002849,751.9502,733.7179,738.2317,940.6458,
1751406996.5041754,757.6146,735.311,739.47076,1102.5239,
1751406996.5080659,750.26855,734.86847,730.0006,803.99194,
1751406996.5119565,736.8156,733.1868,725.39825,422.88348,
1751406996.5158470,731.85925,731.94775,728.14197,453.41818,
1751406996.5197372,741.5065,733.6294,727.69946,887.2764,
1751406996.5236278,751.0651,735.3995,730.6202,1102.4354,
1751406996.5275183,747.7904,726.6374,734.2489,852.582,
1751406996.5314088,735.84204,723.5397,729.38104,459.17108,
1751406996.5352993,732.30176,726.8144,724.86725,413.23627,
1751406996.5391898,740.7984,726.7259,728.496,822.04724,
1751406996.5430803,750.5341,723.4511,733.1868,1097.9216,
1751406996.5469708,744.5157,732.12476,730.0891,901.26044,
1751406996.5508614,731.77075,740.09033,725.39825,497.49435,
1751406996.5547519,724.1592,733.45233,724.77875,382.34756,
1751406996.5586424,729.20404,732.6558,729.6466,755.8445,
1751406996.5625329,745.0467,737.4351,733.8949,1082.1675,
1751406996.5664234,744.2501,731.4167,727.87646,943.03546,
1751406996.5703139,726.1948,726.1063,722.21204,539.18085,
1751406996.5742044,715.30853,724.2477,721.5925,361.9026,
1751406996.5780950,724.95575,725.13275,726.9914,689.8187,
1751406996.5819855,742.48,733.7179,735.84204,1058.8018,
1751406996.5858760,748.941,738.76276,731.59375,984.8105,
1751406996.5897665,740.35583,734.60297,723.0971,596.44446,
1751406996.5936570,734.2489,728.85004,724.2477,373.05438,
1751406996.5975475,734.69147,733.9834,730.0006,644.946,
1751406996.6014380,737.7892,736.9041,734.86847,1031.9844,
1751406996.6053286,745.66626,734.86847,734.51447,1021.71765,
1751406996.6092191,746.10876,732.9213,730.6202,658.1334,
1751406996.6131096,734.69147,729.29254,723.4511,375.53256,
1751406996.6170001,731.94775,731.4167,723.0971,590.426,
1751406996.6208906,750.7996,733.8949,732.30176,1015.43365,
1751406996.6247811,758.1456,734.60297,733.0098,1055.7041,
1751406996.6286716,744.9582,733.8064,725.8408,698.4923,
1751406996.6325622,729.7351,724.4247,720.3534,379.51535,
1751406996.6364527,724.77875,725.9293,722.5661,532.8084,
1751406996.6403432,742.74554,731.4167,729.6466,972.9506,
1751406996.6442337,759.8273,721.85803,725.8408,1083.5836,
1751406996.6481242,750.5341,726.8144,722.6546,758.5882,
1751406996.6520147,733.8064,736.7271,725.22125,404.20862,
1751406996.6559052,729.8236,739.47076,723.3626,489.52878,
1751406996.6597958,739.38226,736.37305,729.6466,922.856,
1751406996.6636863,752.0387,729.9121,739.02826,1094.7354,
1751406996.6675768,744.2501,730.9742,734.4259,815.8518,
1751406996.6714673,727.96497,729.8236,722.6546,431.11456,
1751406996.6753576,728.67303,725.30975,722.6546,444.125,
1751406996.6792481,737.9662,728.4075,731.1512,869.2211,
1751406996.6831386,750.7111,730.7087,734.1604,1098.0986,
1751406996.6870291,747.43634,729.7351,729.02704,860.99005,
1751406996.6909196,726.3718,727.4339,724.3362,465.1895,
1751406996.6948102,720.79596,722.5661,726.0178,412.70523,
1751406996.6987007,734.957,732.12476,729.8236,813.63916,
1751406996.7025912,748.4984,739.47076,729.20404,1097.0366,
1751406996.7064817,747.17084,738.93976,729.46954,910.81915,
1751406996.7103722,731.4167,732.21326,729.5581,509.00018,
1751406996.7142627,720.97296,727.61096,726.7259,383.2326,
1751406996.7181532,730.6202,733.2753,732.21326,749.0295,
1751406996.7220438,747.6134,734.69147,736.10754,1084.5571,
1751406996.7259343,744.9582,725.22125,731.4167,958.25854,
1751406996.7298248,728.93854,721.14996,724.86725,556.88214,
1751406996.7337153,717.96375,730.7972,723.8937,361.8141,
1751406996.7376058,726.4603,735.0455,726.7259,678.75543,
1751406996.7414963,744.1616,732.21326,729.7351,1060.6604,
1751406996.7453868,745.57776,729.6466,732.21326,996.4933,
1751406996.7492774,732.30176,725.04425,725.48676,604.23303,
1751406996.7531679,722.03503,722.5661,722.5661,358.0968,
1751406996.7570584,722.38904,730.1776,726.7259,625.9171,
1751406996.7609489,736.19604,737.6122,729.9121,1037.2948,
1751406996.7648394,741.5065,732.03625,733.0983,1024.4613,
1751406996.7687299,726.7259,719.5569,729.5581,650.8759,
1751406996.7726204,713.2729,720.70746,724.95575,356.4152,
1751406996.7765110,714.42346,731.1512,727.69946,557.41315,
1751406996.7804015,729.38104,736.7271,734.0719,992.422,
1751406996.7842920,739.20526,735.134,729.02704,1056.5891,
1751406996.7881825,726.8144,726.1063,720.3534,700.7935,
1751406996.7920730,710.70624,721.23846,722.9201,364.64627,
1751406996.7959635,718.6718,727.87646,726.6374,505.0174,
1751406996.7998540,747.08234,732.5673,730.0891,954.36426,
1751406996.8037446,753.80884,733.45233,733.5409,1084.5571,
1751406996.8076351,721.41547,726.0178,726.8144,751.2421,
1751406996.8115256,701.9441,720.61896,719.6454,379.78088,
1751406996.8154161,705.9269,726.9914,723.0086,448.1963,
1751406996.8193066,712.0338,731.3282,730.6202,878.51434,
1751406996.8231971,725.22125,730.4431,730.5317,1069.0686,
1751406996.8270876,723.1856,726.2833,727.96497,799.92065,
1751406996.8309779,706.90045,725.8408,722.30054,405.53622,
1751406996.8348684,709.3786,729.7351,720.70746,410.84662,
1751406996.8387589,721.14996,731.50525,729.8236,842.75775,
1751406996.8426495,732.12476,730.8857,733.36383,1084.2916,
1751406996.8465400,728.4075,727.2569,729.5581,853.90955,
1751406996.8504305,710.61774,723.0086,723.8937,451.91357,
1751406996.8543210,704.15674,719.5569,719.8224,379.33835,
1751406996.8582115,718.31775,723.6282,725.13275,776.46643,
