"","Tiktok","Tetris","Reality","Podcast","Musica","Maximal","Leer","Documental","Basal"
"Theta_s1",43.0797403812409,46.6820807278156,41.9841019451618,46.7857220232487,42.6123514831066,39.40818811059,43.6931597650051,41.5297096252441,41.6876426815987
"Alpha_s1",39.7453877270222,42.0896850168705,39.3459120094776,41.9692904770374,42.0282287955284,37.2287773668766,41.4363779842854,39.1251609742641,41.5431053459644
"Theta_s2",47.7864464104175,43.0563597738743,51.7611837744713,48.2798260211945,42.9300138115883,54.258922213316,43.4709017038345,42.7660327374935,40.5279865384102
"Alpha_s2",43.970155620575,40.8184487462044,47.6861767888069,42.9961490750313,41.1096605300903,46.7824226140976,41.2718544185162,40.4879724740982,39.6876599431038
"Theta_s3",44.5220764517784,42.0259396016598,41.3670173764229,42.3587036430836,47.7041965186596,41.8216765165329,41.0684101343155,50.6643201053143,39.1632540166378
"Alpha_s3",40.5110811948776,40.4072818160057,39.9274237513542,38.4236404299736,43.4505467474461,38.2966219484806,40.094006383419,43.5959351301193,39.0730866193771
"Theta_s4",50.2521193504333,54.4664727568626,56.812690025568,57.6580944359303,52.5837877452373,56.4027130007744,49.7115222513676,49.6407386422158,52.1949649572372
"Alpha_s4",44.8626248955727,51.3616947293282,51.6128291130066,54.1170557439327,45.9458157122135,50.5930824518204,43.9044293403625,47.2299761176109,52.4610895454884
"Theta_s5",41.6129425048828,43.15764747262,44.3406901240349,38.7184844851494,39.3353199243545,49.0285041213036,42.6655605494976,42.8757766902447,34.9479886114597
"Alpha_s5",37.6491425454616,39.379573571682,40.7110721290111,35.550792068243,36.4598521053791,40.0344550311565,39.524290138483,37.788827508688,31.0834087431431
"Theta_s6",51.7859747469425,44.8450772404671,47.7369371116161,51.5770030677319,48.796216237545,53.5521065533161,50.3693866968155,48.7766304373741,55.0194293439388
"Alpha_s6",42.9727869033814,40.2778346896172,38.7980376660824,43.8577948212624,43.9604991734028,44.5431798219681,40.9256080031395,43.9115060925484,43.772067463398
"Theta_s7",44.6038491785526,44.9388672888279,48.6715920388698,45.7272181928158,43.5796640455723,48.9070708632469,47.2368170559406,45.560687404871,43.9902917921543
"Alpha_s7",41.1004721105099,41.4400898635387,44.2501432955265,40.7931166946888,40.568074965477,43.4841114938259,40.5868939161301,41.2946079432964,42.6247213304043
"Theta_s8",48.1652730047703,54.6548200309277,48.8850279033184,42.6001921772957,48.2737744569779,45.9414515435696,48.1722157359123,49.25552085042,49.3206100344658
"Alpha_s8",41.6435123980045,52.6210450172424,43.2103334605694,39.3825417101383,45.7245604932308,40.6850484013557,41.6688120901585,45.5588980555534,45.5533148527145
